g Hull
f 30.24810175345128
f 29.58403624704900
f 30.26447039023342
f 24.93618794091960
f 24.87193907959402
f 24.31030712580636
f 24.09878129558920
f 24.25630442340663
f 24.08229652251577
f 24.55105868915616
f 24.19762379154044
f 24.14363220433955
f 23.96324313892650
f 23.73837299323112
f 24.01526079581769
f 23.67614924496810
f 23.78413531548151
f 29.42738091911345
f 23.12849394650885
f 23.49707927487527
f 23.61143546227225
f 23.39882875254713
f 30.46527296626020
f 29.60022407049910
f 29.63481831100746
f 30.47161793485321
f 30.72750989178150
f 29.83077467391211
f 23.11249855038607
f 22.81096704259413
f 23.42554867867039
f 25.31729669840539
f 25.41558587893525
f 25.56060450760918
f 25.85833153283464
f 30.60264058458436
f 29.77834164152737
f 24.70585322646404
f 25.37684920968786
f 25.19616877479937
f 30.64225048743801
f 27.41403700976159
f 26.90725740731330
f 26.66343504200890
f 27.93931888935830
f 26.73107668649476
f 26.21468063970439
f 26.36129916109454
f 26.30737615115249
f 25.72295474988001
f 26.07452095139883
f 25.91121229543934
f 25.58541889474293
f 25.58838554343900
f 30.58790399047216
f 29.57975100173193
f 29.25959792195617
f 29.57833956619737
f 30.45759504577795
f 23.22013707498125
f 23.27849450667956
f 23.73592616103844
f 23.72735259584833
f 23.79040150228911
f 23.64466412523286
f 30.34675309814428
f 23.11680939264457
f 30.35441318308134
f 24.29617820172350
f 24.36500261449412
f 23.79122026655879
f 22.83251705428206
f 23.39271837751315
f 30.28071383502030
f 24.06037546839397
f 23.53782540536430
f 23.66621798889028
f 29.51512921426474
f 29.40756066559193
f 30.28592387990600
f 30.30591800690114
f 30.26388584307167
f 26.60634116706668
f 30.33090745069771
f 26.44588751598935
f 29.54340626437887
f 26.71740971857688
f 29.35129852217076
f 25.84264782841864
f 26.03903872291197
f 29.42737528844387
f 25.43700740376218
f 29.49702261019715
f 25.87131685201901
f 26.83200709397065
f 24.58139864361280
f 25.40332976830783
f 25.73848485257077
f 25.99570226156216
f 26.65986751117445
f 23.13040869264629
f 25.63173652603357
f 25.21331332128823
f 22.42522304431739
f 23.86538735861609
f 23.09812231884069
f 23.00233752002366
f 23.31378640040114
f 23.37358485743453
f 22.45130551788140
f 23.35066698740809
f 23.24232912095381
f 23.11722836942365
f 23.27224195950425
f 24.07760510411705
f 22.89397075348485
f 22.59264035353208
f 27.13700340408615
f 26.66960900283402
f 25.59774195366080
f 27.49060284617720
f 28.03087847574705
f 28.12386748569465
f 27.91242448467150
f 28.24750506003879
f 27.99061923134619
f 28.25013530664555
f 22.68518388249608
f 22.21960104287379
f 22.64051024080007
f 27.76150508036186
f 23.81298433633025
f 23.07963193714048
f 22.96320236777162
f 22.60218268615176
f 26.91876823696377
f 27.80096927061049
f 27.28262575294776
f 27.34820633610136
f 26.64230022023137
f 26.49277953105726
f 22.97836930347806
f 24.02138300343454
f 24.02298817166216
f 23.47472972365810
f 23.97500574402321
f 23.84665635311327
f 22.99306787221340
f 22.88618144545122
f 23.84337406399410
f 23.68709294641546
f 22.82390117809933
f 22.64286394747831
f 22.11342738393930
f 22.14631334202293
f 22.77808671778130
f 22.42198544829730
f 23.33560738957270
f 22.87193527628583
f 22.63170340827165
f 22.44049326810484
f 23.56567334159414
f 23.37342983228353
f 22.04744967862304
f 22.23771958631657
f 21.78596883171497
f 21.89370496998053
f 22.51564981663755
f 22.58624114162308
f 23.08643659693921
f 22.38072541175683
f 22.39781676177871
f 22.95501429516504
f 22.73291624553632
f 22.17280460342864
f 22.05198664806947
f 22.85456690985702
f 22.82221832041406
f 22.25055648629664
f 21.95484752354132
f 22.80218273345131
f 22.64415044917360
